要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況	Keycloak-IdP 側
NFR-OPS-003-b	非機能要件	TBD	対象	その他	他組織（境界・共通基盤）	記録の保管は全体の共通基盤側。本基盤は指定した保持年数と形式で出すまで（OP-03 で確認）	ログ保存期間（共通基盤側の保管）	記録を定められた期間保つこと				OP-03	他組織で実施	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-004-a	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	何を記録し何年保つかは本基盤が決めて出力する	ログ検索性（出力・項目・保持年数の指定）	記録を必要な条件で探せること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	OP-03	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-004-b	非機能要件	推奨値あり	対象	その他	他組織（境界・共通基盤）	記録の検索は全体の共通基盤側。本基盤は指定した保持年数と形式で出すまで（OP-03 で確認）	ログ検索性（共通基盤側の検索）	記録を必要な条件で探せること				OP-03	他組織で実施	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-005	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	バージョンアップ方針	Keycloak の版を上げる方針が定まっていること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	OP-10	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-006	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	パッチ適用（CVE 対応）	弱点への修正を定めた期間内に当てること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	SEC-09	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	設定変更プロセス	設定を変えるときの手順が定まっていること	G-5.1 G-5.2 G-5.3 G-5.6				🔺 一部の工程のみ	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-008	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	インシデント対応体制	障害に対応する体制があること	G-1.3 G-1.4 G-5.1 G-5.2 G-5.3 G-5.6		MKH-06	OP-08 UAT-03	🔺 一部の工程のみ	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-009	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	運用工数（人月）	運用にかかる人手が想定の範囲に収まること	G-5.5 G-5.7				🔺 一部の工程のみ	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-010	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	デプロイ自動化（CI/CD）	入れ替えを自動で行えること	HA-16 HA-17	DDG-13	MKA-19	OP-11	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-011-a	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	登録から疎通確認までの所要時間は本基盤	テナント追加の運用 SLA（本基盤側の作業）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	G-5.4 HB-F-ADM-16		MKB-16	OP-01	🔺 一部の工程のみ	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-011-b	非機能要件	TBD	対象	その他	他組織（境界・共通基盤）	顧客IdP 向けの外向き許可の追加は他組織（依頼から当日〜翌日）。約束する時間にこの分を含める	テナント追加の運用 SLA（境界側の外向き許可）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む					他組織で実施	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-OPS-012	非機能要件	Must	対象	Keycloak-IdP	インフラ（本基盤）	ROSA の引き渡しまでが本基盤。以降の構築・運用はアプリ責務（D-21 責任表）	Keycloak-IdP 側の構築・運用の責任分界	Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能を誰が持つかが合意されていること	D-21 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	全工程あり	本基盤（ROSA 引き渡しまで）→ アプリ（引き渡し後の非機能すべて）
NFR-OPS-013	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	環境構成（本番 / 検証 / 開発）	環境ごとの構成差分と、検証環境に本番データを入れない規律が定まっていること	HH-05	DDG-05	MKA-07 MKA-08	IT-13 TE-01 TE-02	全工程あり	アプリ（Keycloak-IdP 側の環境はアプリが用意）
NFR-COMP-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	個人情報保護法対応	個人情報保護法に沿った扱いをすること	D-20	DDA-06	MKH-03	SEC-08	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-002	非機能要件	TBD	対象外	—	—	海外展開時に再評価	GDPR / CCPA（海外展開時）	海外の個人情報の規則に沿えること					Phase 1 では作らない	—
NFR-COMP-003	非機能要件	TBD	対象外	—	—	取得の予定が決まってから	SOC 2 Type II	第三者認証（SOC 2）に対応できること					Phase 1 では作らない	—
NFR-COMP-004	非機能要件	TBD	対象外	—	—	同上	ISO 27001	第三者認証（ISO 27001）に対応できること					Phase 1 では作らない	—
NFR-COMP-005	非機能要件	TBD	対象外	—	—	該当する顧客が現れてから	PCI DSS（金融）	カード業界の基準に対応できること					Phase 1 では作らない	—
NFR-COMP-006	非機能要件	不要	対象外	—	—	不要と確定（2026-07-30）	FIPS 140-3 認定（暗号モジュール認定、旧 140-2）	暗号の実装が国の認定を受けていること					Phase 1 では作らない	—
NFR-COMP-007-a	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	何を記録し何年保つかは本基盤が決めて出力する	監査ログ保存期間（法令要件）（出力・項目・保持年数の指定）	法令が求める期間まで記録を保つこと	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09 ST-20	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-007-b	非機能要件	TBD	対象	その他	他組織（境界・共通基盤）	記録の保管は全体の共通基盤側。本基盤は指定した保持年数と形式で出すまで（OP-03 で確認）	監査ログ保存期間（法令要件）（共通基盤側の保管）	法令が求める期間まで記録を保つこと				OP-03	他組織で実施	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-008	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	データ所在地（リージョン制限）	データを置く地域を限定できること	HA-04	DDG-02	MKA-02	IT-10	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-009-a	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	同上。本人からの請求は本基盤が窓口になり、Keycloak-IdP 側と権限データ側（アプリ）へ依頼する	個人データ削除権（GDPR Right to Erasure）（本基盤の窓口と Keycloak-Broker 側）	本人の求めに応じてデータを消せること	HK-07	DDB-16	MKB-26	OP-04 ST-22	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-009-b	非機能要件	TBD	対象	その他	アプリ（管理画面・idm-api）	権限データ・参照用データの消去は管理画面・idm-api 側。本基盤の手順（HK-07）から依頼する	個人データ削除権（GDPR Right to Erasure）（権限データ側）	本人の求めに応じてデータを消せること				OP-04	アプリ側で実施	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-010	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	アクセス監査の追跡可能性	誰がいつ何をしたかを追えること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	OP-03	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COMP-011	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	E-4c GD-18 HA-26 HB-F-BAT-04 HB-F-BAT-05 HB-F-BAT-07 HE-19a	DDA-05 DDF-02 DDF-03 DDF-04	MKA-16 MKF-03 MKF-04 MKF-05 MKI-16	SEC-02 SEC-07	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-COST-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	初期構築費	初期に作るための費用が見積もられていること					別シートで管理（コスト見積もり）	—
NFR-COST-002	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	月額固定インフラ費	毎月かかる設備の費用が見積もられていること					別シートで管理（コスト見積もり）	—
NFR-COST-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	MAU あたりコスト（連携）	ユーザ 1 人あたりの費用が把握できること					別シートで管理（コスト見積もり）	—
NFR-COST-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	DR 追加月額	災害対策を持つ場合の追加費用が把握できること	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02	別シートで管理（コスト見積もり）	—
NFR-COST-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	運用人件費	運用にかかる人件費が見積もられていること	G-5.5 G-5.7				別シートで管理（コスト見積もり）	—
NFR-COST-006	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	RHBK サブスクリプション	Keycloak の商用サポート費用の要否が定まっていること					確定（RHBK は ROSA に内包され追加費用なし。P-01）	—
NFR-COST-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	損益分岐 MAU（連携のみ）	どの規模から自前が有利になるかが分かること					別シートで管理（コスト見積もり）	—
NFR-COST-008	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	3 年 TCO（10 万 MAU 想定）	3 年分の総額が把握できること（小規模）					別シートで管理（コスト見積もり）	—
NFR-COST-009	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	3 年 TCO（50 万 MAU 想定）	3 年分の総額が把握できること（中規模）					別シートで管理（コスト見積もり）	—
NFR-MIG-001	非機能要件	不要	対象	その他	アプリ（Keycloak-IdP）	本基盤は受け入れ口（SCIM 受信・管理 API・JIT）を提供するのみ。旧システムからの吸い上げと Keycloak-IdP への投入はアプリ側	既存認証システムからのユーザー移行	既存の認証からユーザを移せること					アプリ側で実施	—
NFR-MIG-002	非機能要件	不要	対象	その他	アプリ（Keycloak-IdP）	パスワードのハッシュを持つのは Keycloak-IdP。Keycloak 非対応のハッシュ方式なら Keycloak-IdP 側の拡張（アプリ責務）	パスワード移行（ハッシュ持ち越し）	パスワードを暗号化したまま引き継げること					アプリ側で実施	—
NFR-MIG-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	ベンダーロックイン回避	特定の製品に縛られない作りであること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HE-22a HJ-02a HJ-10a	DDB-01 DDE-01 DDE-10 DDI-02	MKB-02 MKB-03 MKI-02	IT-01 IT-15 RI-01 RI-02 ST-04	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-MIG-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	データエクスポート	データを取り出せること	G-1.2	DDB-10	MKB-15	ST-22	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
NFR-MIG-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	切替の計画は本基盤、実施はアプリ	段階的移行（並行稼働）	新旧を並行して動かしながら段階的に移せること	D-16.4	DDJ-01	MKJ-02	TE-03	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）
